,zip_code,CBSA Title,MSA_central_outlying,Total_All_loans,Total_Female Owned_loans,Total_Male Owned_loans,Total_Unanswered_loans,White_All_loans,White_Female Owned_loans,White_Male Owned_loans,White_Unanswered_loans,Black_All_loans,Black_Female Owned_loans,Black_Male Owned_loans,Black_Unanswered_loans,Hispanic_All_loans,Hispanic_Female Owned_loans,Hispanic_Male Owned_loans,Hispanic_Unanswered_loans,Asian_All_loans,Asian_Female Owned_loans,Asian_Male Owned_loans,Asian_Unanswered_loans,Total_All_loan_amnt,Total_Female Owned_loan_amnt,Total_Male Owned_loan_amnt,Total_Unanswered_loan_amnt,White_All_loan_amnt,White_Female Owned_loan_amnt,White_Male Owned_loan_amnt,White_Unanswered_loan_amnt,Black_All_loan_amnt,Black_Female Owned_loan_amnt,Black_Male Owned_loan_amnt,Black_Unanswered_loan_amnt,Hispanic_All_loan_amnt,Hispanic_Female Owned_loan_amnt,Hispanic_Male Owned_loan_amnt,Hispanic_Unanswered_loan_amnt,Asian_All_loan_amnt,Asian_Female Owned_loan_amnt,Asian_Male Owned_loan_amnt,Asian_Unanswered_loan_amnt
365,37909,"Knoxville, TN",Central,830.0,100.0,180.0,550.0,82.0,32.0,48.0,2.0,34.0,22.0,10.0,2.0,,,,,12.0,4.0,8.0,,112560110.0,3934576.0,30678436.0,77947098.0,6132422.0,1378486.0,4744208.0,9730.0,392346.0,244672.0,106008.0,41666.0,,,,,820764.0,55610.0,765154.0,
366,37912,"Knoxville, TN",Central,1166.0,152.0,288.0,726.0,104.0,38.0,62.0,4.0,88.0,44.0,42.0,2.0,,,,,30.0,4.0,20.0,6.0,71011268.0,4138298.0,20100318.0,46772652.0,3492833.0,388462.0,2312195.0,792176.0,1473366.0,590224.0,877622.0,5520.0,,,,,1661412.0,92436.0,1358320.0,210656.0
367,37914,"Knoxville, TN",Central,1042.0,144.0,266.0,632.0,80.0,22.0,56.0,2.0,114.0,52.0,60.0,2.0,20.0,10.0,8.0,2.0,26.0,4.0,20.0,2.0,82218324.0,8362632.0,15262286.0,58593406.0,8115731.0,1035808.0,6860722.0,219200.0,1701170.0,813782.0,845724.0,41664.0,587546.0,133218.0,362282.0,92046.0,5526208.0,4959756.0,511872.0,54582.0
368,37915,"Knoxville, TN",Central,350.0,64.0,92.0,194.0,14.0,2.0,8.0,4.0,62.0,38.0,24.0,,,,,,,,,,32873081.0,1927448.0,10529264.0,20416370.0,505738.0,92636.0,399306.0,13798.0,1503140.0,510052.0,993088.0,,,,,,,,,
369,37916,"Knoxville, TN",Central,250.0,24.0,70.0,156.0,20.0,6.0,14.0,,10.0,2.0,8.0,,4.0,,4.0,,,,,,28654676.0,2635372.0,5106460.0,20912844.0,2921496.0,1075776.0,1845722.0,,199990.0,41664.0,158326.0,,226126.0,,226126.0,,,,,
370,37917,"Knoxville, TN",Central,1642.0,184.0,372.0,1086.0,188.0,68.0,118.0,2.0,106.0,48.0,56.0,2.0,6.0,6.0,,,8.0,6.0,2.0,,153864648.0,7173024.0,33831781.0,112859844.0,8935136.0,2272011.0,6605826.0,57300.0,1959032.0,1126372.0,801411.0,31250.0,78950.0,78950.0,,,91318.0,46854.0,44464.0,
371,37918,"Knoxville, TN",Central,1780.0,214.0,436.0,1130.0,282.0,104.0,170.0,8.0,74.0,38.0,36.0,,8.0,4.0,4.0,,16.0,,16.0,,79373776.0,4182264.0,19253356.0,55938156.0,8553537.0,2071762.0,6380623.0,101152.0,1092688.0,545040.0,547648.0,,313788.0,68118.0,245670.0,,185152.0,,185152.0,
372,37919,"Knoxville, TN",Central,3890.0,354.0,908.0,2628.0,442.0,146.0,282.0,14.0,38.0,14.0,24.0,,28.0,8.0,20.0,,44.0,10.0,34.0,,431706472.0,13920124.0,107064206.0,310722142.0,29216730.0,5672556.0,22179774.0,1364400.0,731688.0,210050.0,521638.0,,1429538.0,727314.0,702224.0,,2266256.0,557350.0,1708908.0,
373,37920,"Knoxville, TN",Central,1582.0,228.0,352.0,1002.0,244.0,100.0,136.0,8.0,52.0,24.0,28.0,,14.0,8.0,6.0,,20.0,12.0,8.0,,97382063.0,4620330.0,26880094.0,65881640.0,5361964.0,1820556.0,3170038.0,371372.0,966434.0,382606.0,583828.0,,927420.0,94534.0,832886.0,,592716.0,381502.0,211214.0,
374,37921,"Knoxville, TN",Central,1382.0,160.0,332.0,890.0,146.0,38.0,106.0,2.0,114.0,56.0,52.0,6.0,4.0,4.0,,,8.0,6.0,2.0,,157906469.0,3563988.0,33259034.0,121083448.0,12885332.0,905511.0,11814623.0,165200.0,1754106.0,777828.0,910148.0,66130.0,123214.0,123214.0,,,53746.0,49390.0,4356.0,
